plate,transfer,rep,p,n,f
1,5,4,B,17,0.18085106382978725
1,5,4,A/B,9,0.09574468085106383
1,5,4,AB,0,0
1,5,4,E,0,0
1,6,1,U,8,0.0851063829787234
1,6,1,S,40,0.425531914893617
1,6,1,A,17,0.18085106382978725
1,6,1,B,18,0.19148936170212766
1,6,1,A/B,10,0.10638297872340426
1,6,1,AB,1,0.010638297872340425
1,6,1,E,0,0
1,6,2,U,11,0.11702127659574468
1,6,2,S,44,0.46808510638297873
1,6,2,A,13,0.13829787234042554
1,6,2,B,19,0.20212765957446807
1,6,2,A/B,7,0.07446808510638298
1,6,2,AB,0,0
1,6,2,E,0,0
1,6,3,U,9,0.09574468085106383
1,6,3,S,31,0.32978723404255317
1,6,3,A,21,0.22340425531914893
1,6,3,B,15,0.1595744680851064
1,6,3,A/B,12,0.1276595744680851
1,6,3,AB,6,0.06382978723404255
1,6,3,E,0,0
1,6,4,U,9,0.09574468085106383
1,6,4,S,42,0.44680851063829785
1,6,4,A,16,0.1702127659574468
1,6,4,B,16,0.1702127659574468
1,6,4,A/B,11,0.11702127659574468
1,6,4,AB,0,0
1,6,4,E,0,0
1,7,1,U,8,0.0851063829787234
1,7,1,S,38,0.40425531914893614
1,7,1,A,17,0.18085106382978725
1,7,1,B,18,0.19148936170212766
1,7,1,A/B,10,0.10638297872340426
1,7,1,AB,3,0.031914893617021274
1,7,1,E,0,0
1,7,2,U,9,0.09574468085106383
1,7,2,S,41,0.43617021276595747
1,7,2,A,16,0.1702127659574468
1,7,2,B,17,0.18085106382978725
1,7,2,A/B,10,0.10638297872340426
1,7,2,AB,1,0.010638297872340425
1,7,2,E,0,0
1,7,3,U,8,0.0851063829787234
1,7,3,S,38,0.40425531914893614
1,7,3,A,15,0.1595744680851064
1,7,3,B,15,0.1595744680851064
1,7,3,A/B,13,0.13829787234042554
1,7,3,AB,5,0.05319148936170213
1,7,3,E,0,0
1,7,4,U,8,0.0851063829787234
1,7,4,S,40,0.425531914893617
1,7,4,A,16,0.1702127659574468
1,7,4,B,15,0.1595744680851064
1,7,4,A/B,15,0.1595744680851064
1,7,4,AB,0,0
1,7,4,E,0,0
1,8,1,U,6,0.06382978723404255
1,8,1,S,42,0.44680851063829785
1,8,1,A,13,0.13829787234042554
1,8,1,B,19,0.20212765957446807
1,8,1,A/B,14,0.14893617021276595
1,8,1,AB,0,0
1,8,1,E,0,0
1,8,2,U,6,0.06382978723404255
1,8,2,S,43,0.4574468085106383
1,8,2,A,12,0.1276595744680851
1,8,2,B,22,0.23404255319148937
1,8,2,A/B,11,0.11702127659574468
1,8,2,AB,0,0
1,8,2,E,0,0
1,8,3,U,6,0.06382978723404255
1,8,3,S,43,0.4574468085106383
1,8,3,A,13,0.13829787234042554
1,8,3,B,18,0.19148936170212766
1,8,3,A/B,14,0.14893617021276595
1,8,3,AB,0,0
1,8,3,E,0,0
1,8,4,U,6,0.06382978723404255
1,8,4,S,42,0.44680851063829785
1,8,4,A,14,0.14893617021276595
1,8,4,B,17,0.18085106382978725
1,8,4,A/B,15,0.1595744680851064
1,8,4,AB,0,0
1,8,4,E,0,0
1,9,1,U,7,0.07446808510638298
1,9,1,S,40,0.425531914893617
1,9,1,A,11,0.11702127659574468
1,9,1,B,18,0.19148936170212766
1,9,1,A/B,18,0.19148936170212766
1,9,1,AB,0,0
1,9,1,E,0,0
1,9,2,U,7,0.07446808510638298
1,9,2,S,43,0.4574468085106383
1,9,2,A,11,0.11702127659574468
1,9,2,B,21,0.22340425531914893
1,9,2,A/B,12,0.1276595744680851
1,9,2,AB,0,0
1,9,2,E,0,0
1,9,3,U,7,0.07446808510638298
1,9,3,S,41,0.43617021276595747
